Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHAIDIR AHMAD,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHD FAKHRUDIN B ABU HANIPAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI HAJI MOHD SHARKAR BIN HAJI SHAMSUDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI MD JUSOH BIN DARUS,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HJ ANUAR TAHIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang undi dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti (D),Nama Daerah Mengundi,Jenis Undi
14,088/30/10,SMK BUKIT CERMIN,2,511,1,0,233,106,159,499,11,1,KAMPUNG CHATIN,UNDI BIASA
14,088/30/10,SMK BUKIT CERMIN,3,500,2,0,205,133,157,497,3,0,KAMPUNG CHATIN,UNDI BIASA
14,088/30/10,SMK BUKIT CERMIN,4,462,1,0,176,136,144,457,5,0,KAMPUNG CHATIN,UNDI BIASA
14,088/30/10,SMK BUKIT CERMIN,5,447,1,0,131,112,203,447,0,0,KAMPUNG CHATIN,UNDI BIASA
14,088/30/10,SMK BUKIT CERMIN,6,463,0,1,122,135,202,460,3,0,KAMPUNG CHATIN,UNDI BIASA
15,088/30/11,SK TANJONG LALANG,1,269,1,0,100,98,61,260,9,0,SRI KEMUNING,UNDI BIASA
15,088/30/11,SK TANJONG LALANG,2,569,0,0,211,213,140,564,5,0,SRI KEMUNING,UNDI BIASA
15,088/30/11,SK TANJONG LALANG,3,529,0,0,181,196,145,522,7,0,SRI KEMUNING,UNDI BIASA
15,088/30/11,SK TANJONG LALANG,4,534,2,1,172,210,145,530,3,1,SRI KEMUNING,UNDI BIASA
16,088/30/12,SK TEMERLOH JAYA,1,320,3,0,121,106,87,317,3,0,TEMERLOH JAYA,UNDI BIASA
16,088/30/12,SK TEMERLOH JAYA,2,517,1,0,178,198,138,515,2,0,TEMERLOH JAYA,UNDI BIASA
16,088/30/12,SK TEMERLOH JAYA,3,479,2,0,143,182,149,476,3,0,TEMERLOH JAYA,UNDI BIASA
16,088/30/12,SK TEMERLOH JAYA,4,449,0,0,124,148,173,445,4,0,TEMERLOH JAYA,UNDI BIASA
16,088/30/12,SK TEMERLOH JAYA,5,441,1,0,104,156,179,440,1,0,TEMERLOH JAYA,UNDI BIASA
16,088/30/12,SK TEMERLOH JAYA,6,460,4,0,103,170,181,458,2,0,TEMERLOH JAYA,UNDI BIASA
16,088/30/12,SK TEMERLOH JAYA,7,493,1,0,114,196,182,493,0,0,TEMERLOH JAYA,UNDI BIASA
17,088/31/01,SK LEBAK,1,302,3,0,169,97,26,295,7,0,TANJUNG BELENGU,UNDI BIASA
17,088/31/01,SK LEBAK,2,514,2,0,268,183,54,507,7,0,TANJUNG BELENGU,UNDI BIASA
17,088/31/01,SK LEBAK,3,488,5,0,200,183,96,484,4,0,TANJUNG BELENGU,UNDI BIASA
18,088/31/02,MADRASAH AD-DINIAH KG PANGSENAM,1,561,3,0,183,305,63,554,7,0,PANGSENAM,UNDI BIASA
19,088/31/03,SK KAMPUNG TENGAH,1,289,2,0,149,98,31,280,9,0,BUNTUT PULAU,UNDI BIASA
19,088/31/03,SK KAMPUNG TENGAH,2,338,2,1,141,139,53,336,2,0,BUNTUT PULAU,UNDI BIASA
19,088/31/03,SK KAMPUNG TENGAH,3,323,2,0,135,129,55,321,2,0,BUNTUT PULAU,UNDI BIASA
20,088/31/04,SJK(C) YEOW CHENG LUAN,1,107,0,0,33,1,66,100,7,0,LADANG YEOW CHENG LUAN,UNDI BIASA
21,088/31/05,SK DESA BAKTI,1,263,2,0,114,27,109,252,11,0,DESA BAKTI,UNDI BIASA
21,088/31/05,SK DESA BAKTI,2,521,1,0,207,85,214,507,14,0,DESA BAKTI,UNDI BIASA
21,088/31/05,SK DESA BAKTI,3,460,1,0,177,76,202,456,4,0,DESA BAKTI,UNDI BIASA
21,088/31/05,SK DESA BAKTI,4,442,0,1,161,111,166,439,3,0,DESA BAKTI,UNDI BIASA
22,088/31/06,SMK SERI SEMANTAN,1,308,0,0,119,34,152,305,3,0,SRI LAYANG,UNDI BIASA
22,088/31/06,SMK SERI SEMANTAN,2,490,2,2,161,51,270,486,4,0,SRI LAYANG,UNDI BIASA
22,088/31/06,SMK SERI SEMANTAN,3,450,0,0,105,33,307,445,5,0,SRI LAYANG,UNDI BIASA
22,088/31/06,SMK SERI SEMANTAN,4,415,0,1,88,50,272,411,4,0,SRI LAYANG,UNDI BIASA
22,088/31/06,SMK SERI SEMANTAN,5,406,1,0,69,59,276,405,1,0,SRI LAYANG,UNDI BIASA
22,088/31/06,SMK SERI SEMANTAN,6,439,0,0,113,61,264,438,1,0,SRI LAYANG,UNDI BIASA
23,088/31/07,SK BATU KAPOR,1,292,1,0,121,61,99,282,10,0,BATU KAPUR,UNDI BIASA
23,088/31/07,SK BATU KAPOR,2,560,1,2,252,101,188,544,16,0,BATU KAPUR,UNDI BIASA
23,088/31/07,SK BATU KAPOR,3,531,0,0,220,145,165,530,1,0,BATU KAPUR,UNDI BIASA
24,088/31/08,SJK(T) LADANG EDENSOR,1,247,1,0,102,23,114,240,7,0,LADANG EDENSOR,UNDI BIASA
25,088/31/09,BALAI RAYA SUNGAI KEPONG,1,298,0,1,219,49,23,292,6,0,SUNGAI KEPONG,UNDI BIASA
25,088/31/09,BALAI RAYA SUNGAI KEPONG,2,366,0,0,248,74,40,362,4,0,SUNGAI KEPONG,UNDI BIASA
26,088/31/10,SK RANTAU PANJANG,1,275,2,0,164,30,60,256,19,0,RANTAU PANJANG,UNDI BIASA
