Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MUHAMAD RIDUAN BIN OTHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABDULLAH HASNAN BIN KAMARUDDIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DR AZMAN ISMAIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
37,010/16/15,"SEKOLAH KEBANGSAAN PEREMBA, JALAN KILANG TEBU",3,256,57,46,152,255,1,0,PEREMBA,UNDI BIASA
38,010/16/16,"SEKOLAH MENENGAH KEBANGSAAN SEBERANG PERAK, TAMAN BERJAYA",1,237,10,45,177,232,5,0,TAMAN SULTAN BADLISHAH,UNDI BIASA
38,010/16/16,"SEKOLAH MENENGAH KEBANGSAAN SEBERANG PERAK, TAMAN BERJAYA",2,559,32,76,448,556,3,0,TAMAN SULTAN BADLISHAH,UNDI BIASA
38,010/16/16,"SEKOLAH MENENGAH KEBANGSAAN SEBERANG PERAK, TAMAN BERJAYA",3,521,33,34,453,520,1,0,TAMAN SULTAN BADLISHAH,UNDI BIASA
38,010/16/16,"SEKOLAH MENENGAH KEBANGSAAN SEBERANG PERAK, TAMAN BERJAYA",4,465,50,32,383,465,0,0,TAMAN SULTAN BADLISHAH,UNDI BIASA
38,010/16/16,"SEKOLAH MENENGAH KEBANGSAAN SEBERANG PERAK, TAMAN BERJAYA",5,496,68,28,400,496,0,0,TAMAN SULTAN BADLISHAH,UNDI BIASA
39,010/16/17,"SEKOLAH MENENGAH JENIS KEBANGSAAN KEAT HWA 1, JALAN KUALA KEDAH",1,281,30,49,202,281,0,0,TAMAN MALEK,UNDI BIASA
39,010/16/17,"SEKOLAH MENENGAH JENIS KEBANGSAAN KEAT HWA 1, JALAN KUALA KEDAH",2,354,48,44,262,354,0,0,TAMAN MALEK,UNDI BIASA
39,010/16/17,"SEKOLAH MENENGAH JENIS KEBANGSAAN KEAT HWA 1, JALAN KUALA KEDAH",3,322,53,28,241,322,0,0,TAMAN MALEK,UNDI BIASA
40,010/17/01,"SEKOLAH KEBANGSAAN TELOK KECHAI, JALAN KUALA KEDAH",1,281,57,103,115,275,6,0,TELOK KECHAI,UNDI BIASA
40,010/17/01,"SEKOLAH KEBANGSAAN TELOK KECHAI, JALAN KUALA KEDAH",2,438,131,118,187,436,2,0,TELOK KECHAI,UNDI BIASA
40,010/17/01,"SEKOLAH KEBANGSAAN TELOK KECHAI, JALAN KUALA KEDAH",3,405,138,63,204,405,0,0,TELOK KECHAI,UNDI BIASA
41,010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",1,273,57,88,123,268,5,0,TAMAN SOPHIA,UNDI BIASA
41,010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",2,524,100,128,292,520,4,0,TAMAN SOPHIA,UNDI BIASA
41,010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",3,532,128,105,297,530,2,0,TAMAN SOPHIA,UNDI BIASA
41,010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",4,496,112,75,307,494,2,0,TAMAN SOPHIA,UNDI BIASA
41,010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",5,470,100,73,296,469,1,0,TAMAN SOPHIA,UNDI BIASA
41,010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",6,456,99,64,291,454,2,0,TAMAN SOPHIA,UNDI BIASA
41,010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",7,452,98,56,297,451,1,0,TAMAN SOPHIA,UNDI BIASA
41,010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",8,444,101,44,299,444,0,0,TAMAN SOPHIA,UNDI BIASA
41,010/17/02,"SEKOLAH MENENGAH KEBANGSAAN TUN SHARIFAH RODZIAH, JALAN KUALA KEDAH",9,475,84,53,338,475,0,0,TAMAN SOPHIA,UNDI BIASA
42,010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",1,254,99,93,48,240,14,0,TAMAN BERSATU,UNDI BIASA
42,010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",2,609,152,206,209,567,41,1,TAMAN BERSATU,UNDI BIASA
42,010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",3,614,160,170,279,609,5,0,TAMAN BERSATU,UNDI BIASA
42,010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",4,588,198,120,266,584,3,1,TAMAN BERSATU,UNDI BIASA
42,010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",5,557,163,109,283,555,2,0,TAMAN BERSATU,UNDI BIASA
42,010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",6,513,138,78,291,507,6,0,TAMAN BERSATU,UNDI BIASA
42,010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",7,515,152,90,271,513,2,0,TAMAN BERSATU,UNDI BIASA
42,010/17/03,"SEKOLAH KEBANGSAAN TAMAN BERSATU, KUALA KEDAH",8,549,174,90,280,544,5,0,TAMAN BERSATU,UNDI BIASA
43,010/17/04,"SEKOLAH RENDAH ISLAM DARUL ULUM (SRIDU), JALAN TELOK BAGAN",1,276,70,119,74,263,13,0,TELOK BAGAN,UNDI BIASA
43,010/17/04,"SEKOLAH RENDAH ISLAM DARUL ULUM (SRIDU), JALAN TELOK BAGAN",2,608,167,191,240,598,10,0,TELOK BAGAN,UNDI BIASA
43,010/17/04,"SEKOLAH RENDAH ISLAM DARUL ULUM (SRIDU), JALAN TELOK BAGAN",3,545,209,118,214,541,4,0,TELOK BAGAN,UNDI BIASA
43,010/17/04,"SEKOLAH RENDAH ISLAM DARUL ULUM (SRIDU), JALAN TELOK BAGAN",4,563,172,111,277,560,3,0,TELOK BAGAN,UNDI BIASA
44,010/17/05,"SEKOLAH KEBANGSAAN KEBUN PINANG, TANDOP",1,290,118,97,64,279,11,0,KEBUN PINANG,UNDI BIASA
44,010/17/05,"SEKOLAH KEBANGSAAN KEBUN PINANG, TANDOP",2,417,188,78,150,416,1,0,KEBUN PINANG,UNDI BIASA
45,010/17/06,"SEKOLAH KEBANGSAAN TEBENGAU, JALAN YAN",1,286,111,120,37,268,18,0,TEBENGAU,UNDI BIASA
45,010/17/06,"SEKOLAH KEBANGSAAN TEBENGAU, JALAN YAN",2,494,208,195,89,492,2,0,TEBENGAU,UNDI BIASA
45,010/17/06,"SEKOLAH KEBANGSAAN TEBENGAU, JALAN YAN",3,468,200,155,108,463,5,0,TEBENGAU,UNDI BIASA
