Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK DR. SABIRIN BIN JA'AFAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ NASIR OTHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MAS ERMIEYATI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,,1011,144,76,555,775,111,125,UNDI POS,UNDI POS
2,134/01/00,BILIK TAKLIMAT BALAI POLIS KUALA SUNGAI BARU,1,16,0,0,16,16,0,0,UNDI AWAL ,UNDI AWAL
3,134/03/00,BILIK TAKLIMAT BALAI POLIS LUBOK CHINA,1,12,1,1,10,12,0,0,UNDI AWAL ,UNDI AWAL
4,134/04/00,BILIK MAKLUMAT BALAI POLIS MASJID TANAH,1,40,4,5,30,39,1,0,UNDI AWAL ,UNDI AWAL
4,134/04/00,BILIK GERAKAN 96 DPP,1,220,40,41,139,220,0,0,UNDI AWAL ,UNDI AWAL
5,134/05/00,BILIK TAKLIMAT BALAI POLIS SIMPANG EMPAT,1,15,0,0,15,15,0,0,UNDI AWAL ,UNDI AWAL
6,134/01/01,SEKOLAH KEBANGSAAN KUALA LINGGI,1,296,68,7,210,285,11,0,TANJUNG DAHAN ,UNDI BIASA
6,134/01/01,SEKOLAH KEBANGSAAN KUALA LINGGI,2,445,113,30,298,441,4,0,TANJUNG DAHAN ,UNDI BIASA
6,134/01/01,SEKOLAH KEBANGSAAN KUALA LINGGI,3,433,163,43,224,430,3,0,TANJUNG DAHAN ,UNDI BIASA
6,134/01/01,SEKOLAH KEBANGSAAN KUALA LINGGI,4,434,168,39,223,430,4,0,TANJUNG DAHAN ,UNDI BIASA
7,134/01/02,SEKOLAH KEBANGSAAN AYER JERNEH,1,293,55,20,205,280,13,0,SUNGAI BARU HILIR ,UNDI BIASA
7,134/01/02,SEKOLAH KEBANGSAAN AYER JERNEH,2,293,77,22,190,289,4,0,SUNGAI BARU HILIR ,UNDI BIASA
7,134/01/02,SEKOLAH KEBANGSAAN AYER JERNEH,3,291,95,16,169,280,11,0,SUNGAI BARU HILIR ,UNDI BIASA
8,134/01/03,SEKOLAH KEBANGSAAN KAMPUNG TENGAH,1,294,60,12,214,286,8,0,KAMPUNG TENGAH ,UNDI BIASA
