Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK DR. SABIRIN BIN JA'AFAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ NASIR OTHMAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) MAS ERMIEYATI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
8,134/01/03,SEKOLAH KEBANGSAAN KAMPUNG TENGAH,2,361,117,35,206,358,3,0,KAMPUNG TENGAH ,UNDI BIASA
8,134/01/03,SEKOLAH KEBANGSAAN KAMPUNG TENGAH,3,358,126,33,195,354,4,0,KAMPUNG TENGAH ,UNDI BIASA
9,134/01/04,SEKOLAH KEBANGSAAN OTHMAN SHAWAL,1,293,56,42,186,284,9,0,PERMATANG ,UNDI BIASA
9,134/01/04,SEKOLAH KEBANGSAAN OTHMAN SHAWAL,2,430,127,65,235,427,3,0,PERMATANG ,UNDI BIASA
9,134/01/04,SEKOLAH KEBANGSAAN OTHMAN SHAWAL,3,402,128,65,208,401,1,0,PERMATANG ,UNDI BIASA
9,134/01/04,SEKOLAH KEBANGSAAN OTHMAN SHAWAL,4,373,132,58,180,370,3,0,PERMATANG ,UNDI BIASA
10,134/01/05,SEKOLAH JENIS KEBANGSAAN (CINA) YOK SIN,1,293,164,13,114,291,2,0,KUALA SUNGAI BARU ,UNDI BIASA
10,134/01/05,SEKOLAH JENIS KEBANGSAAN (CINA) YOK SIN,2,358,243,11,102,356,2,0,KUALA SUNGAI BARU ,UNDI BIASA
10,134/01/05,SEKOLAH JENIS KEBANGSAAN (CINA) YOK SIN,3,347,225,25,95,345,2,0,KUALA SUNGAI BARU ,UNDI BIASA
11,134/01/06,SEKOLAH KEBANGSAAN SUNGAI TUANG,1,295,151,9,124,284,11,0,PAYA MENGKUANG ,UNDI BIASA
11,134/01/06,SEKOLAH KEBANGSAAN SUNGAI TUANG,2,540,366,35,137,538,2,0,PAYA MENGKUANG ,UNDI BIASA
11,134/01/06,SEKOLAH KEBANGSAAN SUNGAI TUANG,3,536,420,24,91,535,1,0,PAYA MENGKUANG ,UNDI BIASA
12,134/01/07,SEKOLAH MENENGAH KEBANGSAAN RAHMAT,1,309,64,26,211,301,8,0,TELOK GONG ,UNDI BIASA
12,134/01/07,SEKOLAH MENENGAH KEBANGSAAN RAHMAT,2,516,146,34,331,511,5,0,TELOK GONG ,UNDI BIASA
12,134/01/07,SEKOLAH MENENGAH KEBANGSAAN RAHMAT,3,476,146,53,264,463,13,0,TELOK GONG ,UNDI BIASA
12,134/01/07,SEKOLAH MENENGAH KEBANGSAAN RAHMAT,4,471,199,38,231,468,3,0,TELOK GONG ,UNDI BIASA
13,134/02/01,SEK. REN. AGAMA (JAIM) KAMPUNG PULAU,1,312,42,30,236,308,4,0,KAMPUNG PULAU ,UNDI BIASA
13,134/02/01,SEK. REN. AGAMA (JAIM) KAMPUNG PULAU,2,325,88,58,176,322,3,0,KAMPUNG PULAU ,UNDI BIASA
13,134/02/01,SEK. REN. AGAMA (JAIM) KAMPUNG PULAU,3,308,106,45,152,303,5,0,KAMPUNG PULAU ,UNDI BIASA
14,134/02/02,SEKOLAH KEBANGSAAN LUBOK REDAN,1,303,48,16,229,293,10,0,LUBOK REDAN ,UNDI BIASA
14,134/02/02,SEKOLAH KEBANGSAAN LUBOK REDAN,2,447,132,44,265,441,5,1,LUBOK REDAN ,UNDI BIASA
14,134/02/02,SEKOLAH KEBANGSAAN LUBOK REDAN,3,429,149,48,231,428,1,0,LUBOK REDAN ,UNDI BIASA
15,134/02/03,SEK. REN. AGAMA (JAIM) LONDANG,1,296,42,21,226,289,7,0,SUNGAI BARU TENGAH ,UNDI BIASA
15,134/02/03,SEK. REN. AGAMA (JAIM) LONDANG,2,438,106,44,282,432,6,0,SUNGAI BARU TENGAH ,UNDI BIASA
15,134/02/03,SEK. REN. AGAMA (JAIM) LONDANG,3,411,127,54,230,411,0,0,SUNGAI BARU TENGAH ,UNDI BIASA
15,134/02/03,SEK. REN. AGAMA (JAIM) LONDANG,4,409,153,60,194,407,1,1,SUNGAI BARU TENGAH ,UNDI BIASA
16,134/02/04,SEKOLAH KEBANGSAAN PENGKALAN BALAK,1,275,53,22,194,269,6,0,PENGKALAN BALAK ,UNDI BIASA
16,134/02/04,SEKOLAH KEBANGSAAN PENGKALAN BALAK,2,522,147,42,327,516,6,0,PENGKALAN BALAK ,UNDI BIASA
16,134/02/04,SEKOLAH KEBANGSAAN PENGKALAN BALAK,3,485,154,74,255,483,2,0,PENGKALAN BALAK ,UNDI BIASA
16,134/02/04,SEKOLAH KEBANGSAAN PENGKALAN BALAK,4,462,179,66,216,461,1,0,PENGKALAN BALAK ,UNDI BIASA
16,134/02/04,SEKOLAH KEBANGSAAN PENGKALAN BALAK,5,476,192,62,221,475,1,0,PENGKALAN BALAK ,UNDI BIASA
17,134/02/05,SEKOLAH KEBANGSAAN TANJONG BIDARA,1,284,38,44,192,274,10,0,PASIR GEMBOR ,UNDI BIASA
17,134/02/05,SEKOLAH KEBANGSAAN TANJONG BIDARA,2,564,85,85,386,556,8,0,PASIR GEMBOR ,UNDI BIASA
17,134/02/05,SEKOLAH KEBANGSAAN TANJONG BIDARA,3,531,84,109,332,525,6,0,PASIR GEMBOR ,UNDI BIASA
17,134/02/05,SEKOLAH KEBANGSAAN TANJONG BIDARA,4,497,118,104,271,493,4,0,PASIR GEMBOR ,UNDI BIASA
17,134/02/05,SEKOLAH KEBANGSAAN TANJONG BIDARA,5,497,119,88,288,495,2,0,PASIR GEMBOR ,UNDI BIASA
18,134/03/01,SEKOLAH KEBANGSAAN SUNGAI SIPUT,1,290,47,38,182,267,23,0,SUNGAI SIPUT ,UNDI BIASA
18,134/03/01,SEKOLAH KEBANGSAAN SUNGAI SIPUT,2,315,98,41,173,312,3,0,SUNGAI SIPUT ,UNDI BIASA
19,134/03/02,SEKOLAH KEBANGSAAN SUNGAI JERNEH,1,311,70,31,206,307,4,0,SUNGAI JERNEH ,UNDI BIASA
20,134/03/03,SEKOLAH MENENGAH KEBANGSAAN LUBOK CHINA,1,259,66,14,161,241,18,0,RAMUAN CHINA KECHIL ,UNDI BIASA
20,134/03/03,SEKOLAH MENENGAH KEBANGSAAN LUBOK CHINA,2,441,134,30,271,435,6,0,RAMUAN CHINA KECHIL ,UNDI BIASA
20,134/03/03,SEKOLAH MENENGAH KEBANGSAAN LUBOK CHINA,3,391,140,44,206,390,1,0,RAMUAN CHINA KECHIL ,UNDI BIASA
20,134/03/03,SEKOLAH MENENGAH KEBANGSAAN LUBOK CHINA,4,392,163,35,192,390,2,0,RAMUAN CHINA KECHIL ,UNDI BIASA
21,134/03/04,SEK. REN. AGAMA (JAIM) FELCRA RAMUAN CHINA KECHIL,1,318,60,19,235,314,4,0,FELCRA RAMUAN CHINA KECHIL ,UNDI BIASA
21,134/03/04,SEK. REN. AGAMA (JAIM) FELCRA RAMUAN CHINA KECHIL,2,413,161,43,208,412,1,0,FELCRA RAMUAN CHINA KECHIL ,UNDI BIASA
22,134/03/05,SEKOLAH KEBANGSAAN RAMUAN CHINA BESAR,1,256,49,22,173,244,12,0,RAMUAN CHINA BESAR ,UNDI BIASA
22,134/03/05,SEKOLAH KEBANGSAAN RAMUAN CHINA BESAR,2,522,174,42,295,511,11,0,RAMUAN CHINA BESAR ,UNDI BIASA
22,134/03/05,SEKOLAH KEBANGSAAN RAMUAN CHINA BESAR,3,480,171,58,248,477,3,0,RAMUAN CHINA BESAR ,UNDI BIASA
22,134/03/05,SEKOLAH KEBANGSAAN RAMUAN CHINA BESAR,4,450,158,44,244,446,3,1,RAMUAN CHINA BESAR ,UNDI BIASA
23,134/03/06,SEKOLAH KEBANGSAAN DEMANG TAHA,1,284,48,15,211,274,10,0,KAMPUNG LEKOK ,UNDI BIASA
23,134/03/06,SEKOLAH KEBANGSAAN DEMANG TAHA,2,636,173,67,389,629,7,0,KAMPUNG LEKOK ,UNDI BIASA
23,134/03/06,SEKOLAH KEBANGSAAN DEMANG TAHA,3,594,224,70,299,593,1,0,KAMPUNG LEKOK ,UNDI BIASA
23,134/03/06,SEKOLAH KEBANGSAAN DEMANG TAHA,4,560,262,56,241,559,1,0,KAMPUNG LEKOK ,UNDI BIASA
23,134/03/06,SEKOLAH KEBANGSAAN DEMANG TAHA,5,560,247,73,237,557,3,0,KAMPUNG LEKOK ,UNDI BIASA
24,134/03/07,SEKOLAH KEBANGSAAN AYER LIMAU,1,275,54,28,189,271,4,0,KAMPUNG PINANG ,UNDI BIASA
24,134/03/07,SEKOLAH KEBANGSAAN AYER LIMAU,2,476,130,45,294,469,6,1,KAMPUNG PINANG ,UNDI BIASA
24,134/03/07,SEKOLAH KEBANGSAAN AYER LIMAU,3,430,138,58,229,425,5,0,KAMPUNG PINANG ,UNDI BIASA
24,134/03/07,SEKOLAH KEBANGSAAN AYER LIMAU,4,415,178,43,194,415,0,0,KAMPUNG PINANG ,UNDI BIASA
25,134/04/01,SEKOLAH KEBANGSAAN SRI LAKSAMANA,1,256,132,13,105,250,6,0,PEKAN MASJID TANAH ,UNDI BIASA
25,134/04/01,SEKOLAH KEBANGSAAN SRI LAKSAMANA,2,574,287,38,248,573,1,0,PEKAN MASJID TANAH ,UNDI BIASA
25,134/04/01,SEKOLAH KEBANGSAAN SRI LAKSAMANA,3,568,306,74,187,567,1,0,PEKAN MASJID TANAH ,UNDI BIASA
25,134/04/01,SEKOLAH KEBANGSAAN SRI LAKSAMANA,4,547,307,64,175,546,1,0,PEKAN MASJID TANAH ,UNDI BIASA
25,134/04/01,SEKOLAH KEBANGSAAN SRI LAKSAMANA,5,538,268,74,191,533,3,2,PEKAN MASJID TANAH ,UNDI BIASA
26,134/04/02,SEKOLAH KEBANGSAAN DURIAN DAUN (K),1,285,35,22,225,282,3,0,DURIAN DAUN ,UNDI BIASA
26,134/04/02,SEKOLAH KEBANGSAAN DURIAN DAUN (K),2,532,114,61,355,530,2,0,DURIAN DAUN ,UNDI BIASA
26,134/04/02,SEKOLAH KEBANGSAAN DURIAN DAUN (K),3,515,160,73,278,511,4,0,DURIAN DAUN ,UNDI BIASA
26,134/04/02,SEKOLAH KEBANGSAAN DURIAN DAUN (K),4,505,222,73,210,505,0,0,DURIAN DAUN ,UNDI BIASA
27,134/04/03,SEKOLAH KEBANGSAAN DATUK TAMBICHIK KARIM,1,285,37,37,207,281,4,0,SUNGAI BARU HULU ,UNDI BIASA
27,134/04/03,SEKOLAH KEBANGSAAN DATUK TAMBICHIK KARIM,2,584,142,122,314,578,6,0,SUNGAI BARU HULU ,UNDI BIASA
27,134/04/03,SEKOLAH KEBANGSAAN DATUK TAMBICHIK KARIM,3,548,191,99,254,544,4,0,SUNGAI BARU HULU ,UNDI BIASA
27,134/04/03,SEKOLAH KEBANGSAAN DATUK TAMBICHIK KARIM,4,524,210,103,204,517,7,0,SUNGAI BARU HULU ,UNDI BIASA
28,134/04/04,SEKOLAH KEBANGSAAN LENDU,1,287,96,14,170,280,7,0,PEKAN LENDU ,UNDI BIASA
28,134/04/04,SEKOLAH KEBANGSAAN LENDU,2,607,247,26,322,595,12,0,PEKAN LENDU ,UNDI BIASA
28,134/04/04,SEKOLAH KEBANGSAAN LENDU,3,556,289,38,226,553,3,0,PEKAN LENDU ,UNDI BIASA
28,134/04/04,SEKOLAH KEBANGSAAN LENDU,4,530,284,50,191,525,4,1,PEKAN LENDU ,UNDI BIASA
29,134/05/01,SEKOLAH KEBANGSAAN CHERANA PUTEH,1,290,116,17,142,275,15,0,CHERANA PUTEH ,UNDI BIASA
29,134/05/01,SEKOLAH KEBANGSAAN CHERANA PUTEH,2,443,177,44,215,436,7,0,CHERANA PUTEH ,UNDI BIASA
29,134/05/01,SEKOLAH KEBANGSAAN CHERANA PUTEH,3,430,210,23,193,426,4,0,CHERANA PUTEH ,UNDI BIASA
29,134/05/01,SEKOLAH KEBANGSAAN CHERANA PUTEH,4,422,156,44,219,419,3,0,CHERANA PUTEH ,UNDI BIASA
30,134/05/02,SEKOLAH KEBANGSAAN SIMPANG EMPAT,1,276,86,24,151,261,15,0,SIMPANG EMPAT ,UNDI BIASA
30,134/05/02,SEKOLAH KEBANGSAAN SIMPANG EMPAT,2,501,217,43,223,483,18,0,SIMPANG EMPAT ,UNDI BIASA
30,134/05/02,SEKOLAH KEBANGSAAN SIMPANG EMPAT,3,458,225,45,188,458,0,0,SIMPANG EMPAT ,UNDI BIASA
30,134/05/02,SEKOLAH KEBANGSAAN SIMPANG EMPAT,4,446,229,51,164,444,2,0,SIMPANG EMPAT ,UNDI BIASA
31,134/05/03,SEKOLAH KEBANGSAAN BERISU,1,280,63,34,178,275,5,0,BERISU ,UNDI BIASA
31,134/05/03,SEKOLAH KEBANGSAAN BERISU,2,310,114,50,145,309,1,0,BERISU ,UNDI BIASA
32,134/05/04,SEKOLAH KEBANGSAAN SUNGAI BULOH,1,513,160,63,285,508,5,0,SUNGAI BULOH ,UNDI BIASA
33,134/05/05,SEKOLAH KEBANGSAAN MELEKEK,1,276,51,44,171,266,10,0,BATANG MELEKEK ,UNDI BIASA
33,134/05/05,SEKOLAH KEBANGSAAN MELEKEK,2,414,102,81,229,412,2,0,BATANG MELEKEK ,UNDI BIASA
33,134/05/05,SEKOLAH KEBANGSAAN MELEKEK,3,396,145,61,188,394,2,0,BATANG MELEKEK ,UNDI BIASA
34,134/05/06,SEKOLAH KEBANGSAAN RANTAU PANJANG,1,279,45,21,208,274,5,0,RANTAU PANJANG ,UNDI BIASA
34,134/05/06,SEKOLAH KEBANGSAAN RANTAU PANJANG,2,284,72,37,170,279,5,0,RANTAU PANJANG ,UNDI BIASA
35,134/05/07,SEKOLAH KEBANGSAAN AYER PA'ABAS,1,286,58,19,204,281,5,0,AYER PAABAS ,UNDI BIASA
35,134/05/07,SEKOLAH KEBANGSAAN AYER PA'ABAS,2,380,121,46,211,378,2,0,AYER PAABAS ,UNDI BIASA
35,134/05/07,SEKOLAH KEBANGSAAN AYER PA'ABAS,3,378,160,50,164,374,4,0,AYER PAABAS ,UNDI BIASA
