Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI MOHD JOHARI BIN BAHARUM,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' AMIRUDDIN HAMZAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) NORHAFIZA BINTI FADZIL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
1,UNDI POS,,1,1972,725,614,325,1664,95,213,UNDI POS,UNDI POS
2,006/05/00,"BILIK LATIHAN, UPP BUKIT KAYU HITAM",1,180,114,45,21,180,0,0,UNDI AWAL,UNDI AWAL
2,006/05/00,"DEWAN MAKAN PASUKAN, KEM BUKIT KAYU HITAM",1,238,157,30,48,235,3,0,UNDI AWAL,UNDI AWAL
2,006/05/00,"DEWAN MAKAN PASUKAN, KEM BUKIT KAYU HITAM",2,338,207,55,73,335,3,0,UNDI AWAL,UNDI AWAL
2,006/05/00,"BILIK KULIAH 2 , PALAPES UUM",1,35,17,10,8,35,0,0,UNDI AWAL,UNDI AWAL
3,006/06/00,"DEWAN SERBAGUNA, IPD KUBANG PASU",1,349,217,96,30,343,6,0,UNDI AWAL,UNDI AWAL
3,006/06/00,DEWAN MAKAN KEM SULTAN ABDUL HALIM MU'ADZAM SHAH,1,346,136,91,114,341,5,0,UNDI AWAL,UNDI AWAL
3,006/06/00,DEWAN MAKAN KEM SULTAN ABDUL HALIM MU'ADZAM SHAH,2,326,160,75,80,315,11,0,UNDI AWAL,UNDI AWAL
4,006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",1,290,159,88,37,284,6,0,BUKIT KAYU HITAM,UNDI BIASA
4,006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",2,423,173,167,77,417,6,0,BUKIT KAYU HITAM,UNDI BIASA
4,006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",3,372,106,200,63,369,3,0,BUKIT KAYU HITAM,UNDI BIASA
4,006/05/01,"SEKOLAH KEBANGSAAN BANDAR BUKIT KAYU HITAM, BUKIT KAYU HITAM",4,383,88,239,56,383,0,0,BUKIT KAYU HITAM,UNDI BIASA
5,006/05/02,"SEKOLAH KEBANGSAAN FELDA BUKIT TANGGA, BANDAR BUKIT KAYU HITAM",1,332,207,92,18,317,11,4,FELDA BUKIT TANGGA,UNDI BIASA
