Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) USTAZ SHAHRUL,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) SITARUNISAH BINTI AB KADIR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SRI HASAN BIN ARIFIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
11,091/40/07,SEKOLAH AGAMA RAKYAT AL-ASRIAH FELDA KERATONG 5,6,363,183,34,144,361,2,0,FELDA KERATONG 5,UNDI BIASA
12,091/40/08,SK LKTP  KERATONG 7,1,329,48,23,250,321,8,0,FELDA KERATONG 7,UNDI BIASA
12,091/40/08,SK LKTP  KERATONG 7,2,378,82,23,272,377,1,0,FELDA KERATONG 7,UNDI BIASA
12,091/40/08,SK LKTP  KERATONG 7,3,295,77,44,174,295,0,0,FELDA KERATONG 7,UNDI BIASA
12,091/40/08,SK LKTP  KERATONG 7,4,293,82,53,155,290,3,0,FELDA KERATONG 7,UNDI BIASA
12,091/40/08,SK LKTP  KERATONG 7,5,323,102,46,175,323,0,0,FELDA KERATONG 7,UNDI BIASA
13,091/40/09,SK LKTP KERATONG 4,1,303,136,15,150,301,2,0,FELDA KERATONG 4,UNDI BIASA
13,091/40/09,SK LKTP KERATONG 4,2,418,140,24,246,410,8,0,FELDA KERATONG 4,UNDI BIASA
13,091/40/09,SK LKTP KERATONG 4,3,350,177,27,145,349,1,0,FELDA KERATONG 4,UNDI BIASA
13,091/40/09,SK LKTP KERATONG 4,4,347,174,39,132,345,2,0,FELDA KERATONG 4,UNDI BIASA
13,091/40/09,SK LKTP KERATONG 4,5,357,165,43,149,357,0,0,FELDA KERATONG 4,UNDI BIASA
13,091/40/09,SK LKTP KERATONG 4,6,379,190,48,134,372,7,0,FELDA KERATONG 4,UNDI BIASA
14,091/40/10,SK LKTP KERATONG 1,1,303,51,15,226,292,11,0,FELDA KERATONG 1,UNDI BIASA
14,091/40/10,SK LKTP KERATONG 1,2,520,107,24,377,508,12,0,FELDA KERATONG 1,UNDI BIASA
14,091/40/10,SK LKTP KERATONG 1,3,483,153,53,271,477,6,0,FELDA KERATONG 1,UNDI BIASA
14,091/40/10,SK LKTP KERATONG 1,4,457,124,61,269,454,3,0,FELDA KERATONG 1,UNDI BIASA
14,091/40/10,SK LKTP KERATONG 1,5,436,138,59,238,435,1,0,FELDA KERATONG 1,UNDI BIASA
14,091/40/10,SK LKTP KERATONG 1,6,441,150,60,227,437,4,0,FELDA KERATONG 1,UNDI BIASA
14,091/40/10,SK LKTP KERATONG 1,7,448,180,52,209,441,7,0,FELDA KERATONG 1,UNDI BIASA
15,091/40/11,SMK SELANCAR,1,314,82,45,180,307,7,0,FELDA SELANCAR I,UNDI BIASA
15,091/40/11,SMK SELANCAR,2,377,105,53,214,372,5,0,FELDA SELANCAR I,UNDI BIASA
15,091/40/11,SMK SELANCAR,3,342,81,86,171,338,4,0,FELDA SELANCAR I,UNDI BIASA
