Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' HJ MAHFUZ OMAR,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATO' SAID ALI BIN SYED RASTAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) RADHI MAT DIN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
35,2008/10/09,MAKTAB MAHMUD POKOK SENA,5,458,195,67,195,457,1,0,KAMPUNG SUNGAI MATI,UNDI BIASA
36,2008/10/10,"SEKOLAH KEBANGSAAN TAMAN AWANA, ALOR SETAR",1,301,58,120,113,291,10,0,LIMBONG,UNDI BIASA
36,2008/10/10,"SEKOLAH KEBANGSAAN TAMAN AWANA, ALOR SETAR",2,327,80,103,141,324,3,0,LIMBONG,UNDI BIASA
36,2008/10/10,"SEKOLAH KEBANGSAAN TAMAN AWANA, ALOR SETAR",3,297,79,93,123,295,2,0,LIMBONG,UNDI BIASA
37,2008/10/11,"SEKOLAH JENIS KEBANGSAAN (CINA) TAI CONG, LANGGAR",1,284,64,120,93,277,7,0,KAMPUNG ALOR SETOL,UNDI BIASA
37,2008/10/11,"SEKOLAH JENIS KEBANGSAAN (CINA) TAI CONG, LANGGAR",2,531,166,155,205,526,5,0,KAMPUNG ALOR SETOL,UNDI BIASA
37,2008/10/11,"SEKOLAH JENIS KEBANGSAAN (CINA) TAI CONG, LANGGAR",3,467,182,109,173,464,3,0,KAMPUNG ALOR SETOL,UNDI BIASA
38,2008/10/12,"SEKOLAH KEBANGSAAN LANGGAR, LANGGAR",1,277,82,80,110,272,5,0,PONDOK LANGGAR,UNDI BIASA
38,2008/10/12,"SEKOLAH KEBANGSAAN LANGGAR, LANGGAR",2,529,180,131,214,525,4,0,PONDOK LANGGAR,UNDI BIASA
38,2008/10/12,"SEKOLAH KEBANGSAAN LANGGAR, LANGGAR",3,498,196,99,201,496,2,0,PONDOK LANGGAR,UNDI BIASA
38,2008/10/12,"SEKOLAH KEBANGSAAN LANGGAR, LANGGAR",4,466,197,87,182,466,0,0,PONDOK LANGGAR,UNDI BIASA
39,2008/10/13,"SEKOLAH MENENGAH KEBANGSAAN LANGGAR, LANGGAR",1,294,65,84,145,294,0,0,KAMPUNG LANGGAR B,UNDI BIASA
39,2008/10/13,"SEKOLAH MENENGAH KEBANGSAAN LANGGAR, LANGGAR",2,529,143,92,285,520,9,0,KAMPUNG LANGGAR B,UNDI BIASA
40,2008/10/14,"SEKOLAH KEBANGSAAN TELUK JAMAT, LANGGAR",1,295,33,99,156,288,7,0,TELOK JAMAT,UNDI BIASA
40,2008/10/14,"SEKOLAH KEBANGSAAN TELUK JAMAT, LANGGAR",2,453,67,136,247,450,3,0,TELOK JAMAT,UNDI BIASA
40,2008/10/14,"SEKOLAH KEBANGSAAN TELUK JAMAT, LANGGAR",3,376,96,83,196,375,1,0,TELOK JAMAT,UNDI BIASA
41,2008/10/15,"PERTUBUHAN PELADANG KAWASAN GERAK MAJU B-111 KM14, JALAN TITI IDRIS",1,295,49,85,159,293,2,0,ALOR SENIBONG,UNDI BIASA
41,2008/10/15,"PERTUBUHAN PELADANG KAWASAN GERAK MAJU B-111 KM14, JALAN TITI IDRIS",2,306,102,61,142,305,1,0,ALOR SENIBONG,UNDI BIASA
42,2008/10/16,"SEKOLAH KEBANGSAAN TUALANG, POKOK SENA",1,277,29,90,154,273,4,0,TUALANG,UNDI BIASA
42,2008/10/16,"SEKOLAH KEBANGSAAN TUALANG, POKOK SENA",2,447,85,114,241,440,7,0,TUALANG,UNDI BIASA
42,2008/10/16,"SEKOLAH KEBANGSAAN TUALANG, POKOK SENA",3,415,101,73,241,415,0,0,TUALANG,UNDI BIASA
42,2008/10/16,"SEKOLAH KEBANGSAAN TUALANG, POKOK SENA",4,402,120,58,224,402,0,0,TUALANG,UNDI BIASA
43,2008/11/01,"SEKOLAH KEBANGSAAN TAMAN RAKYAT, ALOR SETAR",1,282,164,94,20,278,4,0,TAMAN PKNK,UNDI BIASA
43,2008/11/01,"SEKOLAH KEBANGSAAN TAMAN RAKYAT, ALOR SETAR",2,569,375,100,92,567,2,0,TAMAN PKNK,UNDI BIASA
43,2008/11/01,"SEKOLAH KEBANGSAAN TAMAN RAKYAT, ALOR SETAR",3,506,362,68,75,505,1,0,TAMAN PKNK,UNDI BIASA
43,2008/11/01,"SEKOLAH KEBANGSAAN TAMAN RAKYAT, ALOR SETAR",4,475,318,54,100,472,3,0,TAMAN PKNK,UNDI BIASA
43,2008/11/01,"SEKOLAH KEBANGSAAN TAMAN RAKYAT, ALOR SETAR",5,481,348,37,96,481,0,0,TAMAN PKNK,UNDI BIASA
44,2008/11/02,"MADA RICE TRAINING CENTRE (MRTC), JALAN LANGGAR",1,276,180,61,34,275,1,0,ALOR MALAI,UNDI BIASA
44,2008/11/02,"MADA RICE TRAINING CENTRE (MRTC), JALAN LANGGAR",2,279,193,38,47,278,1,0,ALOR MALAI,UNDI BIASA
45,2008/11/03,"KOLEJ VOKASIONAL ALOR SETAR, JALAN STADIUM",1,264,160,75,22,257,7,0,KAMPUNG TELOK SENA,UNDI BIASA
45,2008/11/03,"KOLEJ VOKASIONAL ALOR SETAR, JALAN STADIUM",2,322,209,66,45,320,2,0,KAMPUNG TELOK SENA,UNDI BIASA
45,2008/11/03,"KOLEJ VOKASIONAL ALOR SETAR, JALAN STADIUM",3,301,198,45,58,301,0,0,KAMPUNG TELOK SENA,UNDI BIASA
46,2008/11/04,"SEKOLAH KEBANGSAAN TUNKU ABDUL HALIM, JALAN STADIUM",1,261,210,38,11,259,2,0,JALAN STADIUM,UNDI BIASA
46,2008/11/04,"SEKOLAH KEBANGSAAN TUNKU ABDUL HALIM, JALAN STADIUM",2,480,363,55,57,475,5,0,JALAN STADIUM,UNDI BIASA
47,2008/11/05,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH ASMA, ALOR SETAR",1,237,168,53,11,232,5,0,SENTOSA,UNDI BIASA
47,2008/11/05,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH ASMA, ALOR SETAR",2,382,294,63,24,381,1,0,SENTOSA,UNDI BIASA
47,2008/11/05,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH ASMA, ALOR SETAR",3,350,273,35,39,347,3,0,SENTOSA,UNDI BIASA
48,2008/11/06,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH ASMA, ALOR SETAR",4,254,195,41,6,242,12,0,JALAN AMBAR,UNDI BIASA
48,2008/11/06,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH ASMA, ALOR SETAR",5,420,362,53,5,420,0,0,JALAN AMBAR,UNDI BIASA
48,2008/11/06,"SEKOLAH MENENGAH KEBANGSAAN SULTANAH ASMA, ALOR SETAR",6,407,352,43,9,404,3,0,JALAN AMBAR,UNDI BIASA
49,2008/11/07,"SEKOLAH KEBANGSAAN TUNKU RAUDZAH, JALAN LANGGAR",1,254,146,69,36,251,3,0,DERGA,UNDI BIASA
49,2008/11/07,"SEKOLAH KEBANGSAAN TUNKU RAUDZAH, JALAN LANGGAR",2,487,295,103,86,484,3,0,DERGA,UNDI BIASA
49,2008/11/07,"SEKOLAH KEBANGSAAN TUNKU RAUDZAH, JALAN LANGGAR",3,442,243,65,132,440,1,1,DERGA,UNDI BIASA
50,2008/11/08,"SEKOLAH JENIS KEBANGSAAN (CINA) KEE CHEE, JALAN LANGGAR",1,258,184,60,8,252,6,0,JALAN SHERIFF,UNDI BIASA
50,2008/11/08,"SEKOLAH JENIS KEBANGSAAN (CINA) KEE CHEE, JALAN LANGGAR",2,508,410,82,13,505,3,0,JALAN SHERIFF,UNDI BIASA
50,2008/11/08,"SEKOLAH JENIS KEBANGSAAN (CINA) KEE CHEE, JALAN LANGGAR",3,479,402,53,23,478,1,0,JALAN SHERIFF,UNDI BIASA
50,2008/11/08,"SEKOLAH JENIS KEBANGSAAN (CINA) KEE CHEE, JALAN LANGGAR",4,471,385,37,47,469,2,0,JALAN SHERIFF,UNDI BIASA
51,2008/11/09,"SEKOLAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",1,256,135,85,31,251,5,0,ALOR SEGAMAT,UNDI BIASA
51,2008/11/09,"SEKOLAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",2,512,309,144,50,503,9,0,ALOR SEGAMAT,UNDI BIASA
51,2008/11/09,"SEKOLAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",3,462,302,88,70,460,1,1,ALOR SEGAMAT,UNDI BIASA
51,2008/11/09,"SEKOLAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",4,413,274,54,84,412,1,0,ALOR SEGAMAT,UNDI BIASA
51,2008/11/09,"SEKOLAH KEBANGSAAN SULTANAH ASMA, JALAN LANGGAR",5,458,310,56,92,458,0,0,ALOR SEGAMAT,UNDI BIASA
52,2008/11/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SOFIAH, JALAN LANGGAR",1,269,151,61,53,265,4,0,TAMAN MEWAH,UNDI BIASA
52,2008/11/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SOFIAH, JALAN LANGGAR",2,531,352,80,97,529,2,0,TAMAN MEWAH,UNDI BIASA
52,2008/11/10,"SEKOLAH MENENGAH KEBANGSAAN TUNKU SOFIAH, JALAN LANGGAR",3,497,307,50,139,496,1,0,TAMAN MEWAH,UNDI BIASA
53,2008/11/11,"SEKOLAH KEBANGSAAN CONVENT, ALOR SETAR",1,297,131,108,51,290,7,0,TAMAN NURI,UNDI BIASA
