Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) KHAIRUDDIN ABU HASSAN,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) ABD. ALIM SHAPIE,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) DATUK SERI HAJI AHMAD HAMZAH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
15,139/25/01,SEKOLAH KEBANGSAAN KEMENDOR,3,506,257,50,196,503,3,0,KEMENDOR ,UNDI BIASA
16,139/25/02,BALAI RAYA SERI KESANG,1,571,247,59,245,551,20,0,SERI KESANG ,UNDI BIASA
17,139/25/03,SEKOLAH KEBANGSAAN SRI LANANG,1,311,109,29,171,309,2,0,KELUBI ,UNDI BIASA
17,139/25/03,SEKOLAH KEBANGSAAN SRI LANANG,2,528,260,55,213,528,0,0,KELUBI ,UNDI BIASA
18,139/25/04,SEKOLAH MENENGAH KEBANGSAAN ISKANDAR SHAH,1,291,112,11,159,282,9,0,KG RIM ,UNDI BIASA
18,139/25/04,SEKOLAH MENENGAH KEBANGSAAN ISKANDAR SHAH,2,417,202,22,190,414,3,0,KG RIM ,UNDI BIASA
18,139/25/04,SEKOLAH MENENGAH KEBANGSAAN ISKANDAR SHAH,3,413,252,28,126,406,6,1,KG RIM ,UNDI BIASA
18,139/25/04,SEKOLAH MENENGAH KEBANGSAAN ISKANDAR SHAH,4,389,234,26,128,388,1,0,KG RIM ,UNDI BIASA
19,139/25/05,SEKOLAH JENIS KEBANGSAAN (CINA) PAY CHUIN,1,296,189,11,88,288,8,0,BUKIT KATONG ,UNDI BIASA
19,139/25/05,SEKOLAH JENIS KEBANGSAAN (CINA) PAY CHUIN,2,349,285,3,58,346,3,0,BUKIT KATONG ,UNDI BIASA
20,139/25/06,SEKOLAH JENIS KEBANGSAAN (TAMIL) LADANG DIAMOND JUBILEE,1,277,153,11,104,268,9,0,LADANG DIAMOND ,UNDI BIASA
21,139/25/07,SEKOLAH MENENGAH KEBANGSAAN SIMPANG BEKOH,1,278,98,28,146,272,6,0,SIMPANG BEKOH ,UNDI BIASA
21,139/25/07,SEKOLAH MENENGAH KEBANGSAAN SIMPANG BEKOH,2,448,192,47,204,443,5,0,SIMPANG BEKOH ,UNDI BIASA
21,139/25/07,SEKOLAH MENENGAH KEBANGSAAN SIMPANG BEKOH,3,414,216,42,150,408,6,0,SIMPANG BEKOH ,UNDI BIASA
21,139/25/07,SEKOLAH MENENGAH KEBANGSAAN SIMPANG BEKOH,4,420,194,62,162,418,2,0,SIMPANG BEKOH ,UNDI BIASA
22,139/25/08,SEKOLAH KEBANGSAAN CHOHONG,1,293,62,61,170,293,0,0,CHOHONG ,UNDI BIASA
22,139/25/08,SEKOLAH KEBANGSAAN CHOHONG,2,291,84,79,126,289,2,0,CHOHONG ,UNDI BIASA
23,139/25/09,SEKOLAH KEBANGSAAN CHINCHIN,1,265,61,18,181,260,5,0,CHINCHIN ,UNDI BIASA
23,139/25/09,SEKOLAH KEBANGSAAN CHINCHIN,2,490,164,55,265,484,6,0,CHINCHIN ,UNDI BIASA
23,139/25/09,SEKOLAH KEBANGSAAN CHINCHIN,3,478,158,85,229,472,6,0,CHINCHIN ,UNDI BIASA
23,139/25/09,SEKOLAH KEBANGSAAN CHINCHIN,4,459,217,83,157,457,2,0,CHINCHIN ,UNDI BIASA
23,139/25/09,SEKOLAH KEBANGSAAN CHINCHIN,5,446,217,62,166,445,1,0,CHINCHIN ,UNDI BIASA
24,139/25/10,MAKTAB RENDAH SAINS MARA TUN GHAFAR BABA,1,271,70,51,137,258,4,9,SIMPANG KERAYONG ,UNDI BIASA
24,139/25/10,MAKTAB RENDAH SAINS MARA TUN GHAFAR BABA,2,501,168,85,245,498,3,0,SIMPANG KERAYONG ,UNDI BIASA
24,139/25/10,MAKTAB RENDAH SAINS MARA TUN GHAFAR BABA,3,491,225,75,187,487,4,0,SIMPANG KERAYONG ,UNDI BIASA
24,139/25/10,MAKTAB RENDAH SAINS MARA TUN GHAFAR BABA,4,481,220,90,169,479,2,0,SIMPANG KERAYONG ,UNDI BIASA
25,139/26/01,SEKOLAH KEBANGSAAN BUKIT TEMBAKAU,1,294,94,54,138,286,8,0,BUKIT TEMBAKAU ,UNDI BIASA
25,139/26/01,SEKOLAH KEBANGSAAN BUKIT TEMBAKAU,2,473,148,100,223,471,2,0,BUKIT TEMBAKAU ,UNDI BIASA
25,139/26/01,SEKOLAH KEBANGSAAN BUKIT TEMBAKAU,3,454,147,107,195,449,5,0,BUKIT TEMBAKAU ,UNDI BIASA
