Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) AMINUR SHAFIQ,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) YOO WEI HOW,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) CHAN MING KAI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
49,009/14/10,"SEKOLAH MENENGAH KEBANGSAAN CONVENT, JALAN TANJUNG BENDAHARA",4,444,149,53,241,443,1,0,TAMAN SULTAN ABDUL HALIM,UNDI BIASA
50,009/14/11,"KOLEJ SULTAN ABDUL HAMID, ALOR SETAR",1,313,41,46,223,310,3,0,JALAN LANGGAR,UNDI BIASA
51,009/14/12,"SEKOLAH KEBANGSAAN ISKANDAR, ALOR SETAR",1,247,37,90,113,240,7,0,KAMPUNG TANJONG BENDAHARA,UNDI BIASA
51,009/14/12,"SEKOLAH KEBANGSAAN ISKANDAR, ALOR SETAR",2,511,121,128,259,508,3,0,KAMPUNG TANJONG BENDAHARA,UNDI BIASA
51,009/14/12,"SEKOLAH KEBANGSAAN ISKANDAR, ALOR SETAR",3,503,145,106,244,495,8,0,KAMPUNG TANJONG BENDAHARA,UNDI BIASA
51,009/14/12,"SEKOLAH KEBANGSAAN ISKANDAR, ALOR SETAR",4,458,155,67,235,457,1,0,KAMPUNG TANJONG BENDAHARA,UNDI BIASA
52,009/14/13,"SEKOLAH MENENGAH TEKNIK ALOR SETAR, LEBUHRAYA SULTAN ABDUL HALIM",1,261,53,93,108,254,7,0,KERIANG PULAU,UNDI BIASA
52,009/14/13,"SEKOLAH MENENGAH TEKNIK ALOR SETAR, LEBUHRAYA SULTAN ABDUL HALIM",2,533,137,177,214,528,5,0,KERIANG PULAU,UNDI BIASA
52,009/14/13,"SEKOLAH MENENGAH TEKNIK ALOR SETAR, LEBUHRAYA SULTAN ABDUL HALIM",3,492,212,121,158,491,1,0,KERIANG PULAU,UNDI BIASA
52,009/14/13,"SEKOLAH MENENGAH TEKNIK ALOR SETAR, LEBUHRAYA SULTAN ABDUL HALIM",4,496,137,132,224,493,3,0,KERIANG PULAU,UNDI BIASA
53,009/14/14,"SEKOLAH MENENGAH KEBANGSAAN DATO' WAN MOHD SAMAN, ALOR SETAR",1,291,77,109,92,278,13,0,SELARONG,UNDI BIASA
53,009/14/14,"SEKOLAH MENENGAH KEBANGSAAN DATO' WAN MOHD SAMAN, ALOR SETAR",2,563,134,145,279,558,5,0,SELARONG,UNDI BIASA
53,009/14/14,"SEKOLAH MENENGAH KEBANGSAAN DATO' WAN MOHD SAMAN, ALOR SETAR",3,511,144,76,287,507,4,0,SELARONG,UNDI BIASA
53,009/14/14,"SEKOLAH MENENGAH KEBANGSAAN DATO' WAN MOHD SAMAN, ALOR SETAR",4,476,139,83,254,476,0,0,SELARONG,UNDI BIASA
53,009/14/14,"SEKOLAH MENENGAH KEBANGSAAN DATO' WAN MOHD SAMAN, ALOR SETAR",5,527,206,77,244,527,0,0,SELARONG,UNDI BIASA
54,009/14/15,"SEKOLAH KEBANGSAAN DATO' WAN MOHD SAMAN, TANDOP",1,281,66,94,116,276,5,0,TANDOP,UNDI BIASA
54,009/14/15,"SEKOLAH KEBANGSAAN DATO' WAN MOHD SAMAN, TANDOP",2,372,134,68,167,369,3,0,TANDOP,UNDI BIASA
54,009/14/15,"SEKOLAH KEBANGSAAN DATO' WAN MOHD SAMAN, TANDOP",3,329,131,53,145,329,0,0,TANDOP,UNDI BIASA
