Bil,No. Kod Daerah Mengundi,Nama Pusat Mengundi,Nombor Tempat Mengundi (saluran),Jumlah kertas undi yang patut berada di dalam peti undi (A),Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HAJI RAFIEI,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) HASAN BIN MALEK,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) EDDIN SYAZLEE SHITH,Bilangan undian oleh pemilih bagi setiap orang calon yang bertanding (B) Jumlah undian oleh pemilih,Bilangan kertas undi yang ditolak (C),Jumlah kertas undi yang dikeluarkan kepada pengundi tetapi tidak dimasukkan ke dalam peti undi (D),Nama Daerah Mengundi,Jenis Undi
22,129/16/07,SEKOLAH KEBANGSAAN YAMTUAN LENGGANG,1.0,284,47,137,92,276,8,0,KAMPONG TENGAH ,UNDI BIASA
22,129/16/07,SEKOLAH KEBANGSAAN YAMTUAN LENGGANG,2.0,138,28,52,58,138,0,0,KAMPONG TENGAH ,UNDI BIASA
23,129/16/08,SEKOLAH KEBANGSAAN DATO' IDRIS,1.0,282,22,151,107,280,2,0,TANJONG IPOH ,UNDI BIASA
23,129/16/08,SEKOLAH KEBANGSAAN DATO' IDRIS,2.0,528,58,216,254,528,0,0,TANJONG IPOH ,UNDI BIASA
24,129/16/09,BALAI RAYA KAMPUNG GAMIN,1.0,292,38,142,111,291,1,0,KAMPUNG GAMIN ,UNDI BIASA
25,129/16/10,SEKOLAH KEBANGSAAN TUNKU LAKSAMANA NASIR,3.0,307,25,155,125,305,2,0,KAMPONG BUYAU ,UNDI BIASA
26,129/16/11,SEKOLAH KEBANGSAAN TUNKU LAKSAMANA NASIR,1.0,270,23,137,99,259,11,0,SRI MENANTI ,UNDI BIASA
26,129/16/11,SEKOLAH KEBANGSAAN TUNKU LAKSAMANA NASIR,2.0,231,39,80,111,230,1,0,SRI MENANTI ,UNDI BIASA
27,129/16/12,BALAI RAYA KAMPUNG SIKAI,1.0,286,49,130,95,274,12,0,KAMPUNG SIKAI ,UNDI BIASA
28,129/16/13,SEKOLAH KEBANGSAAN YAMTUAN ANTAH GUNUNG PASIR,1.0,382,49,199,130,378,4,0,GUNONG PASIR ,UNDI BIASA
29,129/17/01,BALAI RAYA KAMPUNG TEMERIS,1.0,285,30,168,81,279,6,0,TEMARIS ,UNDI BIASA
30,129/17/02,SEKOLAH KEBANGSAAN (FELDA) KEPIS,1.0,342,25,265,39,329,13,0,FELDA KEPIS ,UNDI BIASA
30,129/17/02,SEKOLAH KEBANGSAAN (FELDA) KEPIS,2.0,532,75,347,103,525,7,0,FELDA KEPIS ,UNDI BIASA
30,129/17/02,SEKOLAH KEBANGSAAN (FELDA) KEPIS,3.0,465,80,240,143,463,2,0,FELDA KEPIS ,UNDI BIASA
31,129/17/03,SEKOLAH KEBANGSAAN REMBANG PANAS,1.0,291,33,195,52,280,11,0,REMBANG PANAS ,UNDI BIASA
31,129/17/03,SEKOLAH KEBANGSAAN REMBANG PANAS,2.0,434,94,172,167,433,1,0,REMBANG PANAS ,UNDI BIASA
