UNIQUE CODE,STATE,BALLOT TYPE,PARLIAMENTARY CODE,PARLIAMENTARY NAME,STATE CONSTITUENCY CODE,STATE CONSTITUENCY NAME,POLLING DISTRICT CODE,POLLING DISTRICT NAME,POLLING CENTRE,VOTING CHANNEL NUMBER,TOTAL BALLOTS ISSUED,BN,BN CANDIDATE,BN CANDIDATE SEX,BN CANDIDATE AGE,BN VOTE,PR (1),PR (1) CANDIDATE,PR (1) CANDIDATE SEX,PR (1) CANDIDATE AGE,PR (1) VOTE,PR (2),PR (2) CANDIDATE,PR (2) CANDIDATE SEX,PR (2) CANDIDATE AGE,PR (2) VOTE,OTHER PARTY (1),OTHER PARTY (1) CANDIDATE,OTHER PARTY (1) CANDIDATE SEX,OTHER PARTY (1) CANDIDATE AGE,OTHER PARTY (1) VOTE,OTHER PARTY (2),OTHER PARTY (2) CANDIDATE,OTHER PARTY (2) CANDIDATE SEX,OTHER PARTY (2) CANDIDATE AGE,OTHER PARTY (2) VOTE,INDEPENDENT (1),INDEPENDENT (1) CANDIDATE,INDEPENDENT (1) CANDIDATE SEX,INDEPENDENT (1) CANDIDATE AGE,INDEPENDENT (1) VOTE,INDEPENDENT (2),INDEPENDENT (2) CANDIDATE,INDEPENDENT (2) CANDIDATE SEX,INDEPENDENT (2) CANDIDATE AGE,INDEPENDENT (2) VOTE,TOTAL VALID VOTES,TOTAL REJECTED VOTES,TOTAL UNRETURNED BALLOTS,CHECKER (VALID VOTE),CHECKER (TOTAL VOTE ISSUED)
P.078_P.078/POSTAL VOTE_001/UNDI POS_1,PAHANG,POSTAL VOTE,P.078,CAMERON HIGHLANDS,P.078/POSTAL VOTE,POSTAL VOTE,078/UNDI POS,UNDI POS,UNDI POS,1,165,MIC,DATUK SERI G. PALANIVEL,MALE,,131,DAP,M. MANOGARAN,MALE,,17,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,9,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,1,158,5,2,1,1
P.078_P.078/EARLY VOTE_078/01/00_1,PAHANG,EARLY VOTE,P.078,CAMERON HIGHLANDS,P.078/EARLY VOTE,TANAH RATA,078/01/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS BRINCHANG,1,187,MIC,DATUK SERI G. PALANIVEL,MALE,,184,DAP,M. MANOGARAN,MALE,,0,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,2,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,186,1,0,1,1
P.078_P.078/EARLY VOTE_078/02/00_1,PAHANG,EARLY VOTE,P.078,CAMERON HIGHLANDS,P.078/EARLY VOTE,JELAI,078/02/00,UNDI AWAL,BILIK MAKLUMAT BALAI POLIS SUNGAI KOYAN,1,13,MIC,DATUK SERI G. PALANIVEL,MALE,,11,DAP,M. MANOGARAN,MALE,,1,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,1,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,13,0,0,1,1
P.078_N.01_078/01/01_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/01,LADANG SUNGAI PALAS,SEK. JENIS KEB. (T) LADANG SUNGAI PALAS,1,153,MIC,DATUK SERI G. PALANIVEL,MALE,,103,DAP,M. MANOGARAN,MALE,,38,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,2,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,1,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,144,9,0,1,1
P.078_N.01_078/01/02_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/02,KAMPUNG RAJA,SEK. KEB. KAMPUNG RAJA,1,277,MIC,DATUK SERI G. PALANIVEL,MALE,,62,DAP,M. MANOGARAN,MALE,,214,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,0,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,276,1,0,1,1
P.078_N.01_078/01/02_2,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/02,KAMPUNG RAJA,SEK. KEB. KAMPUNG RAJA,2,410,MIC,DATUK SERI G. PALANIVEL,MALE,,68,DAP,M. MANOGARAN,MALE,,334,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,5,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,1,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,408,2,0,1,1
P.078_N.01_078/01/02_3,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/02,KAMPUNG RAJA,SEK. KEB. KAMPUNG RAJA,3,415,MIC,DATUK SERI G. PALANIVEL,MALE,,70,DAP,M. MANOGARAN,MALE,,336,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,7,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,413,2,0,1,1
P.078_N.01_078/01/02_4,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/02,KAMPUNG RAJA,SEK. KEB. KAMPUNG RAJA,4,429,MIC,DATUK SERI G. PALANIVEL,MALE,,45,DAP,M. MANOGARAN,MALE,,376,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,6,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,427,2,0,1,1
P.078_N.01_078/01/03_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/03,LADANG BLUE VALLEY,SEK. JENIS KEB. (T) LADANG BLUE VALLEY,1,244,MIC,DATUK SERI G. PALANIVEL,MALE,,87,DAP,M. MANOGARAN,MALE,,148,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,3,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,1,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,1,240,4,0,1,1
P.078_N.01_078/01/04_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/04,POS TERISU,SEK. KEB. TERISU,1,293,MIC,DATUK SERI G. PALANIVEL,MALE,,257,DAP,M. MANOGARAN,MALE,,13,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,0,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,3,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,2,275,18,0,1,1
P.078_N.01_078/01/05_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/05,KUALA TERLA,SEK. JENIS KEB. (C) KUALA TERLA,1,274,MIC,DATUK SERI G. PALANIVEL,MALE,,71,DAP,M. MANOGARAN,MALE,,187,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,3,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,1,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,262,12,0,1,1
P.078_N.01_078/01/05_2,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/05,KUALA TERLA,SEK. JENIS KEB. (C) KUALA TERLA,2,391,MIC,DATUK SERI G. PALANIVEL,MALE,,95,DAP,M. MANOGARAN,MALE,,290,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,1,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,3,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,389,2,0,1,1
P.078_N.01_078/01/05_3,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/05,KUALA TERLA,SEK. JENIS KEB. (C) KUALA TERLA,3,385,MIC,DATUK SERI G. PALANIVEL,MALE,,64,DAP,M. MANOGARAN,MALE,,317,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,0,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,1,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,382,3,0,1,1
P.078_N.01_078/01/06_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/06,TERINGKAP,SEK. JENIS KEB. (C) TRINGKAP,1,285,MIC,DATUK SERI G. PALANIVEL,MALE,,67,DAP,M. MANOGARAN,MALE,,213,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,1,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,281,3,1,1,1
P.078_N.01_078/01/06_2,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/06,TERINGKAP,SEK. JENIS KEB. (C) TRINGKAP,2,364,MIC,DATUK SERI G. PALANIVEL,MALE,,55,DAP,M. MANOGARAN,MALE,,301,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,2,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,358,6,0,1,1
P.078_N.01_078/01/06_3,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/06,TERINGKAP,SEK. JENIS KEB. (C) TRINGKAP,3,389,MIC,DATUK SERI G. PALANIVEL,MALE,,29,DAP,M. MANOGARAN,MALE,,359,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,0,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,388,1,0,1,1
P.078_N.01_078/01/07_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/07,POS TELANUK,SEK. KEB. TELANUK,1,389,MIC,DATUK SERI G. PALANIVEL,MALE,,291,DAP,M. MANOGARAN,MALE,,2,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,2,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,3,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,36,334,55,0,1,1
P.078_N.01_078/01/08_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/08,KEA FARM,SEK. JENIS KEB. (C) KEA FARM,1,359,MIC,DATUK SERI G. PALANIVEL,MALE,,86,DAP,M. MANOGARAN,MALE,,261,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,1,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,1,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,1,350,9,0,1,1
P.078_N.01_078/01/09_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/09,LADANG BOH 2,SEK. JENIS KEB. (T) LADANG BOH 2,1,128,MIC,DATUK SERI G. PALANIVEL,MALE,,96,DAP,M. MANOGARAN,MALE,,25,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,2,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,1,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,1,125,3,0,1,1
P.078_N.01_078/01/10_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/10,BERINCHANG,SEK. JENIS KEB. (C) BRINCHANG,1,242,MIC,DATUK SERI G. PALANIVEL,MALE,,79,DAP,M. MANOGARAN,MALE,,147,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,3,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,3,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,1,233,9,0,1,1
P.078_N.01_078/01/10_2,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/10,BERINCHANG,SEK. JENIS KEB. (C) BRINCHANG,2,443,MIC,DATUK SERI G. PALANIVEL,MALE,,161,DAP,M. MANOGARAN,MALE,,268,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,8,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,437,6,0,1,1
P.078_N.01_078/01/10_3,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/10,BERINCHANG,SEK. JENIS KEB. (C) BRINCHANG,3,434,MIC,DATUK SERI G. PALANIVEL,MALE,,207,DAP,M. MANOGARAN,MALE,,211,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,11,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,429,5,0,1,1
P.078_N.01_078/01/10_4,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/10,BERINCHANG,SEK. JENIS KEB. (C) BRINCHANG,4,421,MIC,DATUK SERI G. PALANIVEL,MALE,,199,DAP,M. MANOGARAN,MALE,,194,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,13,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,406,15,0,1,1
P.078_N.01_078/01/11_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/11,TANAH RATA,SEK. MEN. KEB. SULTAN AHMAD SHAH,1,234,MIC,DATUK SERI G. PALANIVEL,MALE,,118,DAP,M. MANOGARAN,MALE,,104,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,4,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,1,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,227,7,0,1,1
P.078_N.01_078/01/11_2,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/11,TANAH RATA,SEK. MEN. KEB. SULTAN AHMAD SHAH,2,388,MIC,DATUK SERI G. PALANIVEL,MALE,,198,DAP,M. MANOGARAN,MALE,,162,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,22,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,382,6,0,1,1
P.078_N.01_078/01/11_3,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/11,TANAH RATA,SEK. MEN. KEB. SULTAN AHMAD SHAH,3,380,MIC,DATUK SERI G. PALANIVEL,MALE,,202,DAP,M. MANOGARAN,MALE,,160,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,13,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,2,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,377,3,0,1,1
P.078_N.01_078/01/11_4,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/11,TANAH RATA,SEK. MEN. KEB. SULTAN AHMAD SHAH,4,372,MIC,DATUK SERI G. PALANIVEL,MALE,,155,DAP,M. MANOGARAN,MALE,,201,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,14,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,370,2,0,1,1
P.078_N.01_078/01/11_5,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/11,TANAH RATA,SEK. MEN. KEB. SULTAN AHMAD SHAH,5,391,MIC,DATUK SERI G. PALANIVEL,MALE,,169,DAP,M. MANOGARAN,MALE,,190,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,27,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,1,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,387,4,0,1,1
P.078_N.01_078/01/12_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/12,HABU,SEK. MEN. KEB. RINGLET,1,256,MIC,DATUK SERI G. PALANIVEL,MALE,,118,DAP,M. MANOGARAN,MALE,,116,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,2,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,236,20,0,1,1
P.078_N.01_078/01/12_2,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/12,HABU,SEK. MEN. KEB. RINGLET,2,302,MIC,DATUK SERI G. PALANIVEL,MALE,,124,DAP,M. MANOGARAN,MALE,,172,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,2,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,298,4,0,1,1
P.078_N.01_078/01/13_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/13,BANDAR RINGLET,SEK. JENIS KEB. (C) CAMERON,1,267,MIC,DATUK SERI G. PALANIVEL,MALE,,72,DAP,M. MANOGARAN,MALE,,190,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,0,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,262,5,0,1,1
P.078_N.01_078/01/13_2,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/13,BANDAR RINGLET,SEK. JENIS KEB. (C) CAMERON,2,504,MIC,DATUK SERI G. PALANIVEL,MALE,,112,DAP,M. MANOGARAN,MALE,,385,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,1,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,498,6,0,1,1
P.078_N.01_078/01/13_3,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/13,BANDAR RINGLET,SEK. JENIS KEB. (C) CAMERON,3,495,MIC,DATUK SERI G. PALANIVEL,MALE,,99,DAP,M. MANOGARAN,MALE,,389,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,4,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,1,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,493,2,0,1,1
P.078_N.01_078/01/13_4,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/13,BANDAR RINGLET,SEK. JENIS KEB. (C) CAMERON,4,489,MIC,DATUK SERI G. PALANIVEL,MALE,,70,DAP,M. MANOGARAN,MALE,,408,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,5,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,1,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,484,5,0,1,1
P.078_N.01_078/01/14_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/14,LADANG BOH 1,SEK. JENIS KEB. (T) LADANG BOH 1,1,101,MIC,DATUK SERI G. PALANIVEL,MALE,,65,DAP,M. MANOGARAN,MALE,,33,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,1,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,99,2,0,1,1
P.078_N.01_078/01/15_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/15,LEMBAH BERTAM,SEK. JENIS KEB. (C) BERTAM VALLEY,1,276,MIC,DATUK SERI G. PALANIVEL,MALE,,69,DAP,M. MANOGARAN,MALE,,194,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,3,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,0,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,2,268,8,0,1,1
P.078_N.01_078/01/15_2,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/15,LEMBAH BERTAM,SEK. JENIS KEB. (C) BERTAM VALLEY,2,457,MIC,DATUK SERI G. PALANIVEL,MALE,,87,DAP,M. MANOGARAN,MALE,,358,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,2,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,1,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,448,9,0,1,1
P.078_N.01_078/01/15_3,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/15,LEMBAH BERTAM,SEK. JENIS KEB. (C) BERTAM VALLEY,3,439,MIC,DATUK SERI G. PALANIVEL,MALE,,92,DAP,M. MANOGARAN,MALE,,337,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,0,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,1,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,1,431,8,0,1,1
P.078_N.01_078/01/15_4,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/15,LEMBAH BERTAM,SEK. JENIS KEB. (C) BERTAM VALLEY,4,450,MIC,DATUK SERI G. PALANIVEL,MALE,,75,DAP,M. MANOGARAN,MALE,,347,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,4,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,1,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,0,427,23,0,1,1
P.078_N.01_078/01/16_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/16,POS MENSUN,SEK. KEB. MENSON,1,397,MIC,DATUK SERI G. PALANIVEL,MALE,,349,DAP,M. MANOGARAN,MALE,,6,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,0,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,2,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,7,364,32,1,1,1
P.078_N.01_078/01/17_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.01,TANAH RATA,078/01/17,POS LEMOI,SEK. KEB. LEMOI,1,130,MIC,DATUK SERI G. PALANIVEL,MALE,,93,DAP,M. MANOGARAN,MALE,,19,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,2,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,3,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,1,118,12,0,1,1
P.078_N.02_078/02/01_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/01,POS LANAI,SEK. KEB. LANAI,1,286,MIC,DATUK SERI G. PALANIVEL,MALE,,188,DAP,M. MANOGARAN,MALE,,49,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,12,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,11,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,3,263,23,0,1,1
P.078_N.02_078/02/02_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/02,POS LENJANG,SEK. KEB. LENJANG,1,193,MIC,DATUK SERI G. PALANIVEL,MALE,,103,DAP,M. MANOGARAN,MALE,,26,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,18,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,8,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,26,181,12,0,1,1
P.078_N.02_078/02/02_2,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/02,POS LENJANG,SEK. KEB. LENJANG,2,284,MIC,DATUK SERI G. PALANIVEL,MALE,,96,DAP,M. MANOGARAN,MALE,,35,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,6,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,2,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,76,215,69,0,1,1
P.078_N.02_078/02/03_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/03,POS TITUM,SEK. KEB. TITOM,1,160,MIC,DATUK SERI G. PALANIVEL,MALE,,24,DAP,M. MANOGARAN,MALE,,87,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,4,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,5,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,15,135,25,0,1,1
P.078_N.02_078/02/04_1,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/04,POS SINDERUT,SEK. KEB. SENDERUT,1,245,MIC,DATUK SERI G. PALANIVEL,MALE,,153,DAP,M. MANOGARAN,MALE,,21,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,9,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,14,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,10,207,38,0,1,1
P.078_N.02_078/02/04_2,PAHANG,NORMAL VOTE,P.078,CAMERON HIGHLANDS,N.02,JELAI,078/02/04,POS SINDERUT,SEK. KEB. SENDERUT,2,290,MIC,DATUK SERI G. PALANIVEL,MALE,,218,DAP,M. MANOGARAN,MALE,,22,,,,,,BERJASA,MOHD SHOKRI MAHMOOD,MALE,,9,,,,,,INDEPENDENT - PEN,NP KISHO KUMAR,MALE,,4,INDEPENDENT - HIBISCUS,ALAGU A/L THANGARAJOO,MALE,,8,261,29,0,1,1
